name	rva	va	size	callees	return_type	args	callee_names	decompiled	error
bambu_network_add_subscribe	0x1b5f20	0x1801b5f20	78	3	undefined		FUN_18011e530,FUN_1801a6cc0,FUN_1800bf410	yes	
bambu_network_bind	0x1b5f70	0x1801b5f70	1213	7	undefined		FUN_1801ad500,FUN_1801a9ba0,FUN_1800b6470,thunk_FUN_1805664dd,__security_check_cookie,FUN_1800b89c0,operator_new	yes	
bambu_network_bind_detect	0x1b6430	0x1801b6430	481	7	undefined		FUN_1800b6470,thunk_FUN_1805664dd,FUN_1801ade60,__security_check_cookie,FUN_1800b89c0,FUN_1801a9e40,operator_new	yes	
bambu_network_build_login_cmd	0x1b6620	0x1801b6620	64	1	undefined		FUN_1801a6d20	yes	
bambu_network_build_login_info	0x1b6660	0x1801b6660	64	1	undefined		FUN_1801a6d40	yes	
bambu_network_build_logout_cmd	0x1b66a0	0x1801b66a0	64	1	undefined		FUN_1801a7090	yes	
bambu_network_change_user	0x1b66e0	0x1801b66e0	78	3	undefined		FUN_1801a70b0,FUN_1800b6470,FUN_1800b89c0	yes	
bambu_network_check_debug_consistent	0x1b6730	0x1801b6730	7	0	undefined			yes	
bambu_network_check_user_report	0x1b6740	0x1801b6740	41	1	undefined		FUN_1801a7170	yes	
bambu_network_check_user_task_report	0x1b6770	0x1801b6770	41	1	undefined		FUN_1801a7180	yes	
bambu_network_connect_printer	0x1b67a0	0x1801b67a0	1087	7	undefined		FUN_1800b6470,thunk_FUN_1805664dd,FUN_1801a7190,__security_check_cookie,FUN_1801aecf0,FUN_1800b89c0,operator_new	yes	
bambu_network_connect_server	0x1b6be0	0x1801b6be0	280	5	undefined		FUN_1801a73e0,thunk_FUN_1805664dd,FUN_1801ae9d0,__security_check_cookie,operator_new	yes	
bambu_network_create_agent	0x1b6d00	0x1801b6d00	5	0	undefined			yes	
bambu_network_del_rating_picture_oss	0x1b8090	0x1801b8090	270	6	undefined		FUN_1801b02d0,thunk_FUN_1805664dd,FUN_180234fb6,__security_check_cookie,FUN_1801a73f0,operator_new	yes	
bambu_network_del_subscribe	0x1b81a0	0x1801b81a0	78	3	undefined		FUN_18011e530,FUN_1800bf410,FUN_1801a7400	yes	
bambu_network_delete_setting	0x1b81f0	0x1801b81f0	417	7	undefined		FUN_1800b6470,thunk_FUN_1805664dd,FUN_1801ae9d0,__security_check_cookie,FUN_1801a7460,FUN_1800b89c0,operator_new	yes	
bambu_network_destroy_agent	0x1b83a0	0x1801b83a0	74	2	undefined		thunk_FUN_1805664dd,FUN_1801a6ae0	yes	
bambu_network_disconnect_printer	0x1b83f0	0x1801b83f0	285	5	undefined		FUN_1801af650,thunk_FUN_1805664dd,__security_check_cookie,FUN_1801a7510,operator_new	yes	
bambu_network_enable_multi_machine	0x1b8510	0x1801b8510	21	1	undefined		FUN_1801a7520	yes	
bambu_network_get_bambulab_host	0x1b8530	0x1801b8530	64	1	undefined		FUN_1801a7530	yes	
bambu_network_get_camera_url	0x1b8570	0x1801b8570	209	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801a7550	yes	
bambu_network_get_camera_url_for_golive	0x1b8650	0x1801b8650	255	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801a7640	yes	
bambu_network_get_design_staffpick	0x1b8750	0x1801b8750	192	1	undefined		FUN_1801a77a0	yes	
bambu_network_get_hms_snapshot	0x1b8810	0x1801b8810	194	1	undefined		FUN_1801a7830	yes	
bambu_network_get_model_instance_id	0x1b88e0	0x1801b88e0	269	5	undefined		thunk_FUN_1805664dd,FUN_1801affb0,FUN_1801a78c0,__security_check_cookie,operator_new	yes	
bambu_network_get_model_mall_detail_url	0x1b89f0	0x1801b89f0	464	7	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,__security_check_cookie,FUN_1801a78d0,FUN_1801b0910,operator_new	yes	
bambu_network_get_model_mall_home_url	0x1b8bc0	0x1801b8bc0	252	5	undefined		thunk_FUN_1805664dd,FUN_1801b05f0,__security_check_cookie,FUN_1801a7980,operator_new	yes	
bambu_network_get_model_mall_rating	0x1b8cc0	0x1801b8cc0	267	5	undefined		thunk_FUN_1805664dd,FUN_1801affb0,__security_check_cookie,FUN_1801a7990,operator_new	yes	
bambu_network_get_model_publish_url	0x1b8dd0	0x1801b8dd0	256	6	undefined		thunk_FUN_1805664dd,FUN_1801affb0,__security_check_cookie,FUN_180237754,FUN_1801a79a0,operator_new	yes	
bambu_network_get_model_rating_id	0x1b8ed0	0x1801b8ed0	269	5	undefined		FUN_1801af970,thunk_FUN_1805664dd,FUN_1801a78c0,__security_check_cookie,operator_new	yes	
bambu_network_get_mw_user_4ulist	0x1b8fe0	0x1801b8fe0	192	1	undefined		FUN_1801a79c0	yes	
bambu_network_get_mw_user_preference	0x1b90a0	0x1801b90a0	153	1	undefined		FUN_1801a7a50	yes	
bambu_network_get_my_message	0x1b9140	0x1801b9140	26	1	undefined		FUN_1801a7ad0	yes	
